38	 10	 14	 2	 2	 
5	 0	 0	 0	 2	 
25	 0	 0	 0	 38	 
15	 2	 5	 1	 1	 
4	 0	 5	 0	 0	 
7445	 0	 38	 0	 0	 
14	 17	 21	 2	 1	 
3	 0	 2	 0	 0	 
28828	 0	 404	 0	 0	 
44	 5	 10	 2	 1	 
12	 0	 0	 0	 0	 
54573	 0	 0	 0	 0	 
11	 2	 6	 2	 2	 
5	 0	 0	 2	 2	 
112	 0	 0	 4	 38	 
16	 5	 15	 2	 1	 
5	 0	 6	 0	 0	 
4278	 0	 791	 0	 0	 
5	 5	 7	 2	 1	 
3	 0	 3	 0	 0	 
5080	 0	 15	 0	 0	 
19	 14	 29	 5	 3	 
0	 1	 3	 3	 3	 
0	 26	 337	 2173	 3423	 
38	 10	 14	 2	 2	 
5	 0	 0	 0	 2	 
9	 0	 0	 0	 14	 
5	 5	 9	 1	 1	 
4	 0	 5	 0	 0	 
7217	 0	 47	 0	 0	 
5	 2	 3	 2	 1	 
2	 0	 0	 0	 0	 
71	 0	 0	 0	 0	 
31	 14	 19	 3	 2	 
3	 0	 0	 2	 2	 
8	 0	 0	 11	 29	 
69	 5	 4	 1	 1	 
3	 2	 0	 0	 0	 
2517	 4	 0	 0	 0	 
31	 14	 19	 3	 2	 
7	 0	 0	 2	 2	 
15	 0	 0	 9	 12	 
66	 5	 7	 4	 4	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
19	 8	 22	 1	 2	 
7	 0	 2	 0	 2	 
54193	 0	 165	 0	 2044	 
10	 3	 4	 2	 1	 
7	 2	 0	 0	 0	 
36483	 9336	 0	 0	 0	 
19	 8	 22	 1	 2	 
7	 0	 2	 0	 2	 
52976	 0	 182	 0	 1963	 
57	 12	 18	 4	 2	 
5	 0	 3	 2	 2	 
566	 0	 19	 124	 23	 
27	 7	 29	 3	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 1016	 
24	 9	 11	 3	 2	 
8	 5	 2	 2	 2	 
20034	 1174	 426	 1620	 11661	 
6	 6	 11	 2	 1	 
2	 0	 2	 0	 0	 
5736	 0	 306	 0	 0	 
21	 9	 25	 1	 2	 
10	 0	 7	 0	 2	 
96253	 0	 188	 0	 47	 
11	 6	 10	 2	 1	 
5	 0	 5	 0	 0	 
68433	 0	 17	 0	 0	 
10	 5	 9	 3	 2	 
0	 0	 0	 2	 2	 
0	 0	 0	 2253	 5626	 
12	 2	 7	 1	 2	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 2020	 
11	 0	 1	 1	 2	 
9	 0	 0	 0	 2	 
39102	 0	 0	 0	 17540	 
14	 10	 15	 3	 3	 
0	 0	 0	 0	 2	 
0	 0	 0	 0	 10	 
38	 8	 23	 2	 4	 
0	 0	 2	 0	 3	 
0	 0	 730	 0	 3234	 
65	 18	 31	 4	 5	 
0	 0	 0	 0	 0	 
0	 0	 0	 0	 0	 
36	 15	 30	 3	 3	 
0	 0	 0	 0	 0	 
