811	 367	 28	 10	53511	202	9302	1559	1131	0	0	0	0
325	 136	 107	 51	18676	947	10510	733	258	0	0	0	0
1083	 405	 47	 9	69409	506	644606	111316	9991	0	0	0	0
668	 344	 45	 17	29424	430	13057	1151	1932	0	0	0	0
752	 272	 116	 13	45486	869	8628	1369	46	0	0	0	0
742	 375	 86	 41	32906	995	242890	38665	931	0	0	0	0
554	 320	 54	 31	22857	537	462038	95073	1532	0	0	0	0
998	 431	 28	 3	55770	316	283635	14516	4824	0	0	0	0
811	 367	 35	 10	53511	227	21984	3163	2257	0	0	0	0
320	 116	 70	 52	17188	664	181653	18341	12725	0	0	0	0
595	 317	 4	 10	24775	34	4014	189	276	0	0	0	0
1026	 436	 29	 2	53055	447	4319	531	21	0	0	0	0
674	 270	 21	 8	30494	154	50412	4277	592	0	0	0	0
1026	 436	 76	 13	53055	1205	113301	15199	77	0	0	0	0
